id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_profile_id,host_profile_url,host_name,host_since,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,price_quote_raw,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
103760,https://www.airbnb.com/rooms/103760,20260627225958,2026-06-28,city scrape,Central Centre 5 min walk to/from Central MTR,"Located right in the heart of Central, this 2 bed room apartment with nice furnishings is the perfect drop spot for a visit to Hong Kong.  Restaurants,shops,antiques,etc.  From traditional to ultra modern part of Hong Kong, everything is within reach",,https://a0.muscache.com/pictures/815221/056993f2_original.jpg,304876,https://www.airbnb.com/users/show/304876,1462515188084590070,https://www.airbnb.com/users/profile/1462515188084590070,Brendan,,15,6,15,5,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,,,,f,,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,,3,,None,t,t,,Central & Western,,22.28418,114.15431,Entire rental unit,Entire home/apt,6,1.0,1 bath,2,3,"[""Heating"", ""Cooking basics"", ""Lockbox"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Window AC unit"", ""55 inch HDTV with standard cable"", ""Iron"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Self check-in"", ""Crib"", ""Wifi"", ""AC - split type ductless system"", ""Smoke alarm""]","$1,181.02",2026-11-14,2026-12-02,21258.28,1181.02,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""21258.28"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1181.015555555555555555555556"", ""nightly_subtotal"": ""21258.28"", ""discounted_subtotal"": null, ""raw_price_line_items"": [{""amount"": ""21258.28"", ""item_type"": ""nightly_subtotal"", ""description"": ""18 nights x $1,181.02 HKD"", ""price_string"": ""$21,258.28 HKD""}, {""amount"": ""21258.28"", ""item_type"": ""other"", ""description"": ""Total"", ""price_string"": ""$21,258.28 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-11-14"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-12-02""}}",18,1125,18,18,1125,1125,18.0,1125.0,,t,0,0,0,226,2026-06-28,315,0,0,48,0,0,0,2011-06-19,2024-02-13,4.47,4.4,4.48,4.48,4.63,4.72,4.41,,,2,2,0,0,1.72
163664,https://www.airbnb.com/rooms/163664,20260627225958,2026-06-28,city scrape,Soho off Hollywood Road P4,"Fun Fact: Possession St, is where the British first landed when they arrived in Hong Kong in 1841, Thus the St Name.<br />This nice 2 bedroom apartment sits at the intersection of old and new Hong Kong. New Bars & restaurants line Hollywood Rd steps away. The apartment is located in a traditional walk up Hong Kong building to the forth floor, no elevator.",,https://a0.muscache.com/pictures/15184030/8d06b40b_original.jpg,304876,https://www.airbnb.com/users/show/304876,1462515188084590070,https://www.airbnb.com/users/profile/1462515188084590070,Brendan,,15,6,15,5,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,,,,f,,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,,3,,None,t,t,,Central & Western,,22.28494,114.14901,Entire rental unit,Entire home/apt,6,1.0,1 bath,2,3,"[""Air conditioning"", ""Smoke alarm"", ""Essentials"", ""Cooking basics"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Fire extinguisher"", ""Dishes and silverware"", ""Wifi"", ""Hair dryer"", ""Refrigerator"", ""Shampoo"", ""Dedicated workspace"", ""Lockbox"", ""Microwave"", ""Crib"", ""Kitchen"", ""Self check-in"", ""Heating"", ""Iron""]",$822.05,2026-11-14,2026-12-04,16441.00,822.05,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""16441"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""822.05"", ""nightly_subtotal"": ""16440.80"", ""discounted_subtotal"": ""16440.80"", ""raw_price_line_items"": [{""amount"": ""16440.80"", ""item_type"": ""nightly_subtotal"", ""description"": ""20 nights x $822.04 HKD"", ""price_string"": ""$16,440.80 HKD""}, {""amount"": ""16440.80"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$16,440.80 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-11-14"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-12-04""}}",20,365,20,20,365,365,20.0,365.0,,t,0,0,0,226,2026-06-28,225,0,0,48,0,0,0,2011-08-25,2021-02-16,4.28,4.24,4.41,4.44,4.58,4.68,4.31,,,2,2,0,0,1.24
248140,https://www.airbnb.com/rooms/248140,20260627225958,2026-07-03,previous scrape,Bright Studio - Soho - Central HK,Our bright studio apartment is perfect for visiting Hong Kong Island.  <br />Located on a quiet street 10 minutes walk from Soho and the escalator and with all the amenities you need its a perfect space for you to relax after seeing the sights.,,https://a0.muscache.com/pictures/4e5463bc-38be-4a77-b9b0-fdf68f4eb526.jpg,1300549,https://www.airbnb.com/users/show/1300549,1462542170823986906,https://www.airbnb.com/users/profile/1462542170823986906,Darren,,14,8,14,8,Hong Kong,"Hi Everyone,

my Wife and I have this little apartment for friends and family which we let to travelers to Hong Kong when its free.  

We like to look after people and ensure that they enjoy their stay in Hong Kong.  We have someone who will visit every other day to keep the place clean and tidy.  

We can arrange travel cards, maps and local SIMs for you upon arrival if you need and will meet you at the door or provide a self check in option depending on your needs.

We will be available on the phone during your stay to help with whatever you need and make sure that you enjoy your stay.  If you need an unlocked phone for your stay we are happy to lend you one.

The apartment is 5 minutes walk from Soho and the Elevator and it puts you right in the middle of the main bar/restaurant area of Hong Kong Island.  You will not want to spend much time in the apartment as everything is so close by.  However, for those days when you just want to sit and relax though we have a pile of DVDs and can lend you a few games if you need.

And, if you are a sailor, we are members of the RHKYC and can make some introductions if you want.

hope to see you in Hong Kong soon.

Darren and Annalisa",,,,f,,https://a0.muscache.com/im/pictures/user/3ae519bb-b4ec-4f03-9364-54ee5a61a198.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Central & Western,,22.28228,114.14923,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Wifi"", ""Coffee maker"", ""Conditioner"", ""Body soap"", ""50 inch HDTV with DVD player"", ""Dishes and silverware"", ""Long term stays allowed"", ""Refrigerator"", ""Gas stove"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Oven"", ""Hot water"", ""Essentials"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Doorman"", ""Toaster"", ""Iron"", ""Cleaning products"", ""Elevator"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Shower gel"", ""Wine glasses"", ""AC - split type ductless system"", ""Cleaning available during stay"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Clothing storage: closet"", ""Room-darkening shades""]",,,,,,,1,150,1,30,150,150,12.0,150.0,,t,1,1,1,4,2026-07-03,239,13,0,1,12,78,,2011-10-30,2026-05-27,4.9,4.91,4.92,4.94,4.97,4.76,4.79,,,1,1,0,0,1.34
263081,https://www.airbnb.com/rooms/263081,20260627225958,2026-06-29,city scrape,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車","Mid Level on the top of central, Next to the mountain, fresh air, 2500 Square foot, Very large and family friendly, 10 walk from Central MRT station, or 6 minutes by Taxi,",,https://a0.muscache.com/pictures/7348025/7327833d_original.jpg,1370155,https://www.airbnb.com/users/show/1370155,1462543964897136608,https://www.airbnb.com/users/profile/1462543964897136608,Chuster,,14,7,13,11,Hong Kong,Hi! My name is Peter and I have been living in Hong Kong for the past 20 years. I look forward in meeting you soon!,,,,f,,https://a0.muscache.com/im/pictures/user/ced4b3a1-bdda-4a95-a9de-52817206a603.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Central & Western,,22.27723,114.15083,Private room in rental unit,Private room,8,2.5,2.5 baths,3,6,"[""Heating"", ""Elevator"", ""Doorman"", ""Free parking on premises"", ""Exercise equipment"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Air conditioning"", ""Breakfast"", ""Children\u2019s dinnerware"", ""Dryer"", ""TV with standard cable""]","$24,910.60",2026-07-01,2026-07-11,249106.00,24910.60,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""249106"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""13645.21"", ""price_per_night"": ""24910.6"", ""nightly_subtotal"": ""262750.97"", ""discounted_subtotal"": null, ""raw_price_line_items"": [{""amount"": ""262750.97"", ""item_type"": ""nightly_subtotal"", ""description"": ""10 nights x $26,275.10 HKD"", ""price_string"": ""$262,750.97 HKD""}, {""amount"": ""-13645.21"", ""item_type"": ""discount_amount"", ""description"": ""Weekly stay discount"", ""price_string"": ""-$13,645.21 HKD""}, {""amount"": ""249105.76"", ""item_type"": ""other"", ""description"": ""Total"", ""price_string"": ""$249,105.76 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-01"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-11""}}",10,30,10,10,30,30,10.0,30.0,,t,28,58,88,363,2026-06-29,0,0,0,184,0,0,0,,,,,,,,,,,,1,0,1,0,
306515,https://www.airbnb.com/rooms/306515,20260627225958,2026-06-28,city scrape,"HongKong,Central Bright Double Room",,,https://a0.muscache.com/pictures/3335548/00a8dd65_original.jpg,1576511,https://www.airbnb.com/users/show/1576511,1462562133322138543,https://www.airbnb.com/users/profile/1462562133322138543,Frederic,,14,5,14,5,Hong Kong,"Hello there! we are a Russian-French couple living abroad for 10 years already, Japan, Hong Kong and new Chapter in Seoul Korea now.
Seoul is truly a great place and sure you will enjoy your stay there.
Welcome to Korea !
We also love using Airbnb for our trips as guest too !",,,,f,,https://a0.muscache.com/im/pictures/user/User-1576511/original/ac2974c7-ce95-4250-822c-7f58ead5974b.jpeg?aki_policy=profile_x_medium,,1,,None,t,t,,Central & Western,,22.28376,114.15313,Entire rental unit,Entire home/apt,2,,,1,1,"[""Elevator"", ""Doorman"", ""Kitchen"", ""TV"", ""Washer"", ""Wifi"", ""Air conditioning"", ""Dryer""]","$1,077.87",2026-06-29,2026-07-29,32335.99,1077.87,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""32335.99"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""3216.00"", ""price_per_night"": ""1077.866333333333333333333333"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""32335.99"", ""raw_price_line_items"": [{""amount"": ""35551.99"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$35,551.99 HKD""}, {""amount"": ""-3216.00"", ""item_type"": ""discount_amount"", ""description"": ""Weekly stay discount"", ""price_string"": ""-$3,216.00 HKD""}, {""amount"": ""32335.99"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$32,335.99 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-29""}}",30,30,30,30,30,30,30.0,30.0,,t,29,59,89,364,2026-06-28,19,0,0,186,0,0,0,2012-01-27,2015-08-14,4.88,5.0,4.95,4.72,4.84,4.89,4.79,,,1,1,0,0,0.11
505456,https://www.airbnb.com/rooms/505456,20260627225958,2026-06-28,city scrape,GREEN NEST IN  SHEUNG WAN HEART,"Quiet and Bright apartment in a green and upcoming neighborhood with walking distance cafe,bakery, restaurants and art galleries.",,https://a0.muscache.com/pictures/6123969/bbf40f1f_original.jpg,1189239,https://www.airbnb.com/users/show/1189239,1462539253350132764,https://www.airbnb.com/users/profile/1462539253350132764,Audrey,,14,9,14,0,Hong Kong,"i live in Hong Kong since 2008 and work in healthcare.
i love travelling and diving. as much as Asia's hidden treasures such as Indonesia Laos and Cambodia",,,,t,,https://a0.muscache.com/im/users/1189239/profile_pic/1338308935/original.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Central & Western,,22.28543,114.1489,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Heating"", ""Hangers"", ""Cooking basics"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Dove body soap"", ""Hot water kettle"", ""Pets allowed"", ""Shampoo"", ""Ocean view"", ""Essentials"", ""Free street parking"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Hot water"", ""Wine glasses"", ""Drying rack for clothing"", ""Exercise equipment: yoga mat"", ""Microwave"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Coffee maker"", ""Coffee"", ""Elevator"", ""Doorman"", ""Bay view"", ""Iron"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Bed linens"", ""Smart lock"", ""HDTV with standard cable, Netflix, premium cable"", ""Stove"", ""Books and reading material"", ""Dove conditioner"", ""Toaster"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Shower gel"", ""Wifi"", ""Smoke alarm"", ""Ethernet connection"", ""Cleaning products"", ""Dining table""]","$1,746.00",2026-06-30,2026-07-01,1746.00,1746.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""1746"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""1746"", ""nightly_subtotal"": ""1746.00"", ""discounted_subtotal"": ""1746.00"", ""raw_price_line_items"": [{""amount"": ""1746.00"", ""item_type"": ""nightly_subtotal"", ""description"": ""1 night x $1,746.00 HKD"", ""price_string"": ""$1,746.00 HKD""}, {""amount"": ""1746.00"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$1,746.00 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-30"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-07-01""}}",1,1125,1,1,1125,1125,1.0,1125.0,,t,21,38,63,276,2026-06-28,334,22,0,129,20,132,230472,2012-06-12,2026-04-21,4.72,4.75,4.82,4.89,4.85,4.82,4.61,,,1,1,0,0,1.95
562659,https://www.airbnb.com/rooms/562659,20260627225958,2026-07-03,previous scrape,"Spacious studio, 1min from Sogo(A)",,,https://a0.muscache.com/pictures/ca60a48e-3717-45d4-bd71-dff4616d3f50.jpg,2767759,https://www.airbnb.com/users/show/2767759,1462607419085255635,https://www.airbnb.com/users/profile/1462607419085255635,Alfred,,14,0,14,0,Hong Kong,"Hi, my name is Alfred! I live in Hong Kong where is a funny east meet west place! I like to make friends with people all around the world! I have few cool places in HK for your options. Feel Free to check it out! Please make yourself at home!",,,,f,,https://a0.muscache.com/im/users/2767759/profile_pic/1340872980/original.jpg?aki_policy=profile_x_medium,,16,,None,t,t,,Wan Chai,,22.28113,114.18416,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Kitchen"", ""Clothing storage: dresser"", ""Cooking basics"", ""Hangers"", ""Dining table"", ""Air conditioning"", ""Dryer \u2013\u00a0In unit"", ""Dishes and silverware"", ""Long term stays allowed"", ""Bidet"", ""Hot water kettle"", ""Hot water"", ""Essentials"", ""Mini fridge"", ""Heating"", ""Safe"", ""TV"", ""Doorman"", ""Iron"", ""Elevator"", ""Microwave"", ""Washer"", ""Wifi""]",$138.82,2027-03-01,2027-05-30,12494.13,138.82,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""12494.13"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""10819.20"", ""price_per_night"": ""138.8236666666666666666666667"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""12494.13"", ""raw_price_line_items"": [{""amount"": ""23313.33"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$23,313.33 HKD""}, {""amount"": ""-10819.20"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$10,819.20 HKD""}, {""amount"": ""12494.13"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$12,494.13 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2027-03-01"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2027-05-30""}}",90,360,90,90,360,360,90.0,360.0,,t,29,55,55,179,2026-07-03,13,4,0,55,4,255,35399,2018-09-02,2026-02-15,4.92,4.85,4.69,5.0,4.92,4.92,4.77,,,15,12,3,0,0.14
562775,https://www.airbnb.com/rooms/562775,20260627225958,2026-06-29,city scrape,Mixed Dorm Bed#2@269 Hennessy Road,"My place is close to everything travelers want. You’ll love my place because of the coziness, the comfy bed, and the views. Friendly staff is guaranteed. The China Visa Office is a block away!",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTYyNzc1/original/2da90a2a-ca2e-4af8-b35a-db9acdc0a7ed.jpeg,2767794,https://www.airbnb.com/users/show/2767794,1462607419993748091,https://www.airbnb.com/users/profile/1462607419993748091,Check Inn HK,,14,0,14,0,Hong Kong,"Check Inn HK, a licensed hostel, is located in the heart of Hong Kong Island. The hostel is well connected to most tourist spots and is close to metro stations. 

Our friendly and well-trained staff is always ready to give you information about Hong Kong and China. We also provide a list of free service for our guests, to name just a few, iron, wifi, computers, hair dryer, adapter.

Check Inn HK, a place you could call it home.",,,,f,,https://a0.muscache.com/im/pictures/user/9705b828-f2b1-4e4c-be9f-90e37178d8fa.jpg?aki_policy=profile_x_medium,,28,,None,t,t,,Wan Chai,,22.27825,114.17699,Shared room in rental unit,Shared room,8,1.0,1 shared bath,1,8,"[""Hangers"", ""Cooking basics"", ""Game console"", ""Kitchenette"", ""Piano"", ""Hot water kettle"", ""Laundromat nearby"", ""Washer"", ""Refrigerator"", ""Waterfront"", ""Housekeeping available from 8:00\u202fAM to 11:00\u202fPM, every day"", ""Hot water"", ""Wine glasses"", ""Microwave"", ""Movie theater"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Coffee"", ""Elevator"", ""Doorman"", ""Window AC unit"", ""Coffee maker: Nespresso"", ""Safe"", ""Building staff"", ""Iron"", ""Long term stays allowed"", ""Hair dryer"", ""Window guards"", ""Bed linens"", ""TEAC sound system with aux"", ""First aid kit"", ""Books and reading material"", ""Dishes and silverware"", ""Dedicated workspace"", ""Self check-in"", ""Wifi"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Fire extinguisher"", ""Cleaning products"", ""Board games"", ""Dining table"", ""Dryer""]",$216.00,2026-06-29,2026-06-30,216.00,216.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""216.00"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""216.00"", ""nightly_subtotal"": ""216.00"", ""discounted_subtotal"": ""216.00"", ""raw_price_line_items"": [{""amount"": ""216.00"", ""item_type"": ""nightly_subtotal"", ""description"": ""1 night x $216.00 HKD"", ""price_string"": ""$216.00 HKD""}, {""amount"": ""216.00"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$216.00 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-06-30""}}",1,1125,1,1,1125,1125,1.0,1125.0,,t,30,60,90,365,2026-06-29,218,9,0,186,4,54,11664,2015-10-18,2026-05-11,4.54,4.62,4.53,4.83,4.84,4.83,4.56,,,28,5,11,12,1.67
562822,https://www.airbnb.com/rooms/562822,20260627225958,2026-07-03,previous scrape,Studio w/ private kit. & bath. (B),,,https://a0.muscache.com/pictures/7783499/1be0b357_original.jpg,2767759,https://www.airbnb.com/users/show/2767759,1462607419085255635,https://www.airbnb.com/users/profile/1462607419085255635,Alfred,,14,0,14,0,Hong Kong,"Hi, my name is Alfred! I live in Hong Kong where is a funny east meet west place! I like to make friends with people all around the world! I have few cool places in HK for your options. Feel Free to check it out! Please make yourself at home!",,,,f,,https://a0.muscache.com/im/users/2767759/profile_pic/1340872980/original.jpg?aki_policy=profile_x_medium,,16,,None,t,t,,Wan Chai,,22.27917,114.18577,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Microwave"", ""Dishes and silverware"", ""Kitchen"", ""Long term stays allowed"", ""TV"", ""Clothing storage: dresser"", ""Cooking basics"", ""Hangers"", ""Elevator"", ""Wifi"", ""Hot water kettle"", ""Doorman"", ""Air conditioning"", ""Hot water"", ""Mini fridge"", ""Washer \u2013\u00a0In unit"", ""Room-darkening shades""]",$127.85,2027-01-03,2027-04-03,11506.08,127.85,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""11506.08"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""9165.00"", ""price_per_night"": ""127.8453333333333333333333333"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""11506.08"", ""raw_price_line_items"": [{""amount"": ""20671.08"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$20,671.08 HKD""}, {""amount"": ""-9165.00"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$9,165.00 HKD""}, {""amount"": ""11506.08"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$11,506.08 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2027-01-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2027-04-03""}}",90,1125,90,90,1125,1125,90.0,1125.0,,t,0,0,0,181,2026-07-03,11,0,0,0,0,0,0,2012-07-10,2013-03-02,5.0,4.8,4.9,4.6,4.9,4.9,5.0,,,15,12,3,0,0.06
562840,https://www.airbnb.com/rooms/562840,20260627225958,2026-06-29,city scrape,Mixed Dorm Bed#B@269 Hennessy Road,"My place is close to everything travelers want. You’ll love my place because of the coziness, the comfy bed, and the views. Friendly staff is guaranteed. The China Visa Office is a block away!",,https://a0.muscache.com/pictures/miso/Hosting-562840/original/854987ba-625f-400d-9bb5-bff28edba8e2.jpeg,2767794,https://www.airbnb.com/users/show/2767794,1462607419993748091,https://www.airbnb.com/users/profile/1462607419993748091,Check Inn HK,,14,0,14,0,Hong Kong,"Check Inn HK, a licensed hostel, is located in the heart of Hong Kong Island. The hostel is well connected to most tourist spots and is close to metro stations. 

Our friendly and well-trained staff is always ready to give you information about Hong Kong and China. We also provide a list of free service for our guests, to name just a few, iron, wifi, computers, hair dryer, adapter.

Check Inn HK, a place you could call it home.",,,,f,,https://a0.muscache.com/im/pictures/user/9705b828-f2b1-4e4c-be9f-90e37178d8fa.jpg?aki_policy=profile_x_medium,,28,,None,t,t,,Wan Chai,,22.2782412,114.1769881,Shared room in rental unit,Shared room,8,1.0,1 shared bath,1,8,"[""Hangers"", ""Cooking basics"", ""Game console: Xbox One"", ""Air conditioning"", ""Kitchenette"", ""Piano"", ""Hot water kettle"", ""Laundromat nearby"", ""Washer"", ""Refrigerator"", ""Waterfront"", ""Housekeeping available from 8:00\u202fAM to 11:00\u202fPM, every day"", ""Hot water"", ""Wine glasses"", ""Microwave"", ""Movie theater"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Coffee"", ""Elevator"", ""Doorman"", ""Safe"", ""Building staff"", ""Iron"", ""Long term stays allowed"", ""Hair dryer"", ""Window guards"", ""Bed linens"", ""First aid kit"", ""Books and reading material"", ""Dishes and silverware"", ""Dedicated workspace"", ""Self check-in"", ""Wifi"", ""Exterior security cameras on property"", ""Smoke alarm"", ""TEAC sound system"", ""Fire extinguisher"", ""Cleaning products"", ""Board games"", ""Dining table"", ""Dryer""]",$216.00,2026-06-29,2026-06-30,216.00,216.00,"{""quote"": {""taxes"": null, ""currency"": ""HKD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""216.00"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""216.00"", ""nightly_subtotal"": ""216.00"", ""discounted_subtotal"": ""216.00"", ""raw_price_line_items"": [{""amount"": ""216.00"", ""item_type"": ""nightly_subtotal"", ""description"": ""1 night x $216.00 HKD"", ""price_string"": ""$216.00 HKD""}, {""amount"": ""216.00"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$216.00 HKD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-06-29"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-06-30""}}",1,1125,1,1,1125,1125,1.0,1125.0,,t,30,60,90,365,2026-06-29,29,0,0,186,0,0,0,2012-08-06,2023-03-02,4.52,4.66,4.55,4.93,4.9,4.97,4.38,,,28,5,11,12,0.17
